Province/State,Country/Region,Lat,Long,Deaths,Date
,Afghanistan,33.93911,67.709953,0,2020-01-22
,Albania,41.1533,20.1683,0,2020-01-22
,Algeria,28.0339,1.6596,0,2020-01-22
,Andorra,42.5063,1.5218,0,2020-01-22
,Angola,-11.2027,17.8739,0,2020-01-22
,Antigua and Barbuda,17.0608,-61.7964,0,2020-01-22
,Argentina,-38.4161,-63.6167,0,2020-01-22
,Armenia,40.0691,45.0382,0,2020-01-22
Australian Capital Territory,Australia,-35.4735,149.0124,0,2020-01-22
New South Wales,Australia,-33.8688,151.2093,0,2020-01-22
Northern Territory,Australia,-12.4634,130.8456,0,2020-01-22
Queensland,Australia,-27.4698,153.0251,0,2020-01-22
South Australia,Australia,-34.9285,138.6007,0,2020-01-22
Tasmania,Australia,-42.8821,147.3272,0,2020-01-22
Victoria,Australia,-37.8136,144.9631,0,2020-01-22
Western Australia,Australia,-31.9505,115.8605,0,2020-01-22
,Austria,47.5162,14.5501,0,2020-01-22
,Azerbaijan,40.1431,47.5769,0,2020-01-22
,Bahamas,25.025885,-78.035889,0,2020-01-22
,Bahrain,26.0275,50.55,0,2020-01-22
,Bangladesh,23.685,90.3563,0,2020-01-22
,Barbados,13.1939,-59.5432,0,2020-01-22
,Belarus,53.7098,27.9534,0,2020-01-22
,Belgium,50.8333,4.469936,0,2020-01-22
,Belize,17.1899,-88.4976,0,2020-01-22
,Benin,9.3077,2.3158,0,2020-01-22
,Bhutan,27.5142,90.4336,0,2020-01-22
,Bolivia,-16.2902,-63.5887,0,2020-01-22
,Bosnia and Herzegovina,43.9159,17.6791,0,2020-01-22
,Botswana,-22.3285,24.6849,0,2020-01-22
,Brazil,-14.235,-51.9253,0,2020-01-22
,Brunei,4.5353,114.7277,0,2020-01-22
,Bulgaria,42.7339,25.4858,0,2020-01-22
,Burkina Faso,12.2383,-1.5616,0,2020-01-22
,Burma,21.9162,95.956,0,2020-01-22
,Burundi,-3.3731,29.9189,0,2020-01-22
,Cabo Verde,16.5388,-23.0418,0,2020-01-22
,Cambodia,11.55,104.9167,0,2020-01-22
,Cameroon,3.848,11.5021,0,2020-01-22
Alberta,Canada,53.9333,-116.5765,0,2020-01-22
British Columbia,Canada,53.7267,-127.6476,0,2020-01-22
Diamond Princess,Canada,0.0,0.0,0,2020-01-22
Grand Princess,Canada,0.0,0.0,0,2020-01-22
Manitoba,Canada,53.7609,-98.8139,0,2020-01-22
New Brunswick,Canada,46.5653,-66.4619,0,2020-01-22
Newfoundland and Labrador,Canada,53.1355,-57.6604,0,2020-01-22
Northwest Territories,Canada,64.8255,-124.8457,0,2020-01-22
Nova Scotia,Canada,44.682,-63.7443,0,2020-01-22
Ontario,Canada,51.2538,-85.3232,0,2020-01-22
Prince Edward Island,Canada,46.5107,-63.4168,0,2020-01-22
Quebec,Canada,52.9399,-73.5491,0,2020-01-22
Saskatchewan,Canada,52.9399,-106.4509,0,2020-01-22
Yukon,Canada,64.2823,-135.0,0,2020-01-22
,Central African Republic,6.6111,20.9394,0,2020-01-22
,Chad,15.4542,18.7322,0,2020-01-22
,Chile,-35.6751,-71.543,0,2020-01-22
Anhui,China,31.8257,117.2264,0,2020-01-22
Beijing,China,40.1824,116.4142,0,2020-01-22
Chongqing,China,30.0572,107.874,0,2020-01-22
Fujian,China,26.0789,117.9874,0,2020-01-22
Gansu,China,35.7518,104.2861,0,2020-01-22
Guangdong,China,23.3417,113.4244,0,2020-01-22
Guangxi,China,23.8298,108.7881,0,2020-01-22
Guizhou,China,26.8154,106.8748,0,2020-01-22
Hainan,China,19.1959,109.7453,0,2020-01-22
Hebei,China,39.549,116.1306,0,2020-01-22
Heilongjiang,China,47.862,127.7615,0,2020-01-22
Henan,China,37.8957,114.9042,0,2020-01-22
Hong Kong,China,22.3,114.2,0,2020-01-22
Hubei,China,30.9756,112.2707,17,2020-01-22
Hunan,China,27.6104,111.7088,0,2020-01-22
Inner Mongolia,China,44.0935,113.9448,0,2020-01-22
Jiangsu,China,32.9711,119.455,0,2020-01-22
Jiangxi,China,27.614,115.7221,0,2020-01-22
Jilin,China,43.6661,126.1923,0,2020-01-22
Liaoning,China,41.2956,122.6085,0,2020-01-22
Macau,China,22.1667,113.55,0,2020-01-22
Ningxia,China,37.2692,106.1655,0,2020-01-22
Qinghai,China,35.7452,95.9956,0,2020-01-22
Shaanxi,China,35.1917,108.8701,0,2020-01-22
Shandong,China,36.3427,118.1498,0,2020-01-22
Shanghai,China,31.202,121.4491,0,2020-01-22
Shanxi,China,37.5777,112.2922,0,2020-01-22
Sichuan,China,30.6171,102.7103,0,2020-01-22
Tianjin,China,39.3054,117.323,0,2020-01-22
Tibet,China,31.6927,88.0924,0,2020-01-22
Xinjiang,China,41.1129,85.2401,0,2020-01-22
Yunnan,China,24.974,101.487,0,2020-01-22
Zhejiang,China,29.1832,120.0934,0,2020-01-22
,Colombia,4.5709,-74.2973,0,2020-01-22
,Comoros,-11.6455,43.3333,0,2020-01-22
,Congo (Brazzaville),-0.228,15.8277,0,2020-01-22
,Congo (Kinshasa),-4.0383,21.7587,0,2020-01-22
,Costa Rica,9.7489,-83.7534,0,2020-01-22
,Cote d'Ivoire,7.54,-5.5471,0,2020-01-22
,Croatia,45.1,15.2,0,2020-01-22
,Cuba,21.521757,-77.78116700000002,0,2020-01-22
,Cyprus,35.1264,33.4299,0,2020-01-22
,Czechia,49.8175,15.473,0,2020-01-22
Faroe Islands,Denmark,61.8926,-6.9118,0,2020-01-22
Greenland,Denmark,71.7069,-42.6043,0,2020-01-22
,Denmark,56.2639,9.5018,0,2020-01-22
,Diamond Princess,0.0,0.0,0,2020-01-22
,Djibouti,11.8251,42.5903,0,2020-01-22
,Dominica,15.415,-61.371,0,2020-01-22
,Dominican Republic,18.7357,-70.1627,0,2020-01-22
,Ecuador,-1.8312,-78.1834,0,2020-01-22
,Egypt,26.820553000000004,30.802498,0,2020-01-22
,El Salvador,13.7942,-88.8965,0,2020-01-22
,Equatorial Guinea,1.6508,10.2679,0,2020-01-22
,Eritrea,15.1794,39.7823,0,2020-01-22
,Estonia,58.5953,25.0136,0,2020-01-22
,Eswatini,-26.5225,31.4659,0,2020-01-22
,Ethiopia,9.145,40.4897,0,2020-01-22
,Fiji,-17.7134,178.065,0,2020-01-22
,Finland,61.92411,25.748151,0,2020-01-22
French Guiana,France,3.9339,-53.1258,0,2020-01-22
French Polynesia,France,-17.6797,149.4068,0,2020-01-22
Guadeloupe,France,16.265,-61.551,0,2020-01-22
Martinique,France,14.6415,-61.0242,0,2020-01-22
Mayotte,France,-12.8275,45.166244,0,2020-01-22
New Caledonia,France,-20.904305,165.618042,0,2020-01-22
Reunion,France,-21.1151,55.5364,0,2020-01-22
Saint Barthelemy,France,17.9,-62.8333,0,2020-01-22
Saint Pierre and Miquelon,France,46.8852,-56.3159,0,2020-01-22
St Martin,France,18.0708,-63.0501,0,2020-01-22
,France,46.2276,2.2137,0,2020-01-22
,Gabon,-0.8037,11.6094,0,2020-01-22
,Gambia,13.4432,-15.3101,0,2020-01-22
,Georgia,42.3154,43.3569,0,2020-01-22
,Germany,51.165691,10.451526,0,2020-01-22
,Ghana,7.9465,-1.0232,0,2020-01-22
,Greece,39.0742,21.8243,0,2020-01-22
,Grenada,12.1165,-61.679,0,2020-01-22
,Guatemala,15.7835,-90.2308,0,2020-01-22
,Guinea,9.9456,-9.6966,0,2020-01-22
,Guinea-Bissau,11.8037,-15.1804,0,2020-01-22
,Guyana,4.860416000000002,-58.93018000000001,0,2020-01-22
,Haiti,18.9712,-72.2852,0,2020-01-22
,Holy See,41.9029,12.4534,0,2020-01-22
,Honduras,15.2,-86.2419,0,2020-01-22
,Hungary,47.1625,19.5033,0,2020-01-22
,Iceland,64.9631,-19.0208,0,2020-01-22
